date,day,day_of_week,day_of_year,week_of_year,month,quarter,year,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-06-17,17,0,168,25,6,2,2019,1022.87,1006.03,1010.95,1006.72,1035.6,1065.72,1090.95,1108.21,1101.55,1101.27,1097.82,1096.85,1097.06,1096.81,1096.67,1090.0,1096.95,1108.04,1093.18,1076.61,1074.64,1061.96,1047.61,1031.4
2019-06-18,18,1,169,25,6,2,2019,1015.69,1003.84,1010.36,1001.68,1026.73,1059.54,1092.17,1109.47,1104.78,1099.94,1097.97,1099.03,1092.78,1090.38,1089.74,1083.62,1084.57,1085.75,1091.48,1071.62,1069.48,1059.48,1042.17,1019.09
2019-06-19,19,2,170,25,6,2,2019,961.19,953.77,956.05,943.37,968.55,1000.91,1049.22,1092.73,1087.4,1089.23,1088.23,1089.63,1080.72,1067.71,1057.33,1044.87,1055.18,1061.96,1061.85,1013.32,999.97,980.59,972.02,965.1
2019-06-20,20,3,171,25,6,2,2019,921.58,888.68,907.76,887.66,949.41,1019.21,1075.59,1081.64,1079.1,1081.09,1081.72,1081.65,1007.14,998.2,999.67,987.76,998.98,1002.07,987.16,948.57,891.94,869.37,844.35,833.43
2019-06-21,21,4,172,25,6,2,2019,887.78,887.48,891.64,884.13,905.22,937.66,967.05,1019.57,1013.8,1026.68,1020.57,1013.16,1011.28,999.32,999.26,990.33,999.54,1002.91,999.53,955.19,947.04,938.19,935.18,920.76
2019-06-22,22,5,173,25,6,2,2019,882.1,866.6,860.27,861.91,871.31,896.99,912.34,925.51,925.2,923.36,923.39,921.43,919.01,921.21,920.67,919.34,920.97,921.81,982.1,938.21,919.58,908.43,902.43,884.82
2019-06-23,23,6,174,25,6,2,2019,852.22,847.88,842.66,840.38,857.52,875.82,889.76,919.86,931.23,949.21,949.61,949.37,911.52,914.3,910.1,899.27,909.52,913.89,989.47,947.99,913.54,904.18,890.04,879.15
2019-06-24,24,0,175,26,6,2,2019,847.35,844.09,843.06,854.12,868.55,897.18,931.37,1031.97,1034.39,1050.4,1050.57,1046.87,1020.39,1017.22,1017.9,999.9,1001.67,1005.33,1008.0,946.38,904.49,892.11,878.59,860.05
2019-06-25,25,1,176,26,6,2,2019,834.51,831.33,833.93,848.47,849.9,910.01,939.01,1011.05,1011.51,1023.4,1005.63,1004.28,1004.95,982.72,1004.68,996.96,995.53,993.16,1030.2,1003.59,963.33,944.57,916.42,892.04
2019-06-26,26,2,177,26,6,2,2019,897.85,890.57,893.4,897.57,897.41,925.64,933.68,965.59,964.77,970.03,938.98,934.99,931.67,927.95,929.83,926.4,917.48,927.11,956.98,958.55,918.96,894.14,895.61,888.24
2019-06-27,27,3,178,26,6,2,2019,890.36,875.94,892.02,883.87,867.02,918.57,938.27,974.91,971.05,974.71,971.64,973.11,970.27,968.61,957.93,965.52,971.59,971.49,1016.75,1022.23,956.01,937.71,932.38,917.44
2019-06-28,28,4,179,26,6,2,2019,924.67,897.48,898.36,905.94,907.6,919.43,961.43,1010.52,1017.39,1018.99,1018.78,1018.42,1018.03,1016.12,1016.35,1008.18,1005.86,1005.24,1052.43,1059.92,1017.74,983.47,967.63,955.33
2019-06-29,29,5,180,26,6,2,2019,947.31,944.3,888.8,918.7,916.52,949.29,964.66,989.44,1009.87,1010.05,1009.3,1008.31,1007.85,1008.15,1008.09,1003.19,998.96,998.06,1010.87,1064.78,976.44,970.39,974.34,950.03
2019-06-30,30,6,181,26,6,2,2019,878.86,859.22,852.08,840.26,834.33,862.64,874.67,898.76,907.43,918.16,909.84,908.68,908.02,907.38,904.91,907.13,910.79,910.8,940.09,939.85,904.67,900.78,889.28,873.85
2019-07-01,1,0,182,27,7,3,2019,855.07,844.89,845.79,839.63,848.04,866.84,897.2,921.17,911.73,930.96,926.8,923.74,922.99,914.77,915.91,914.7,911.38,908.33,908.61,906.44,888.04,863.26,856.36,847.37
2019-07-02,2,1,183,27,7,3,2019,814.18,793.61,811.94,799.32,810.06,820.94,850.2,864.22,860.52,851.48,851.72,850.77,851.76,858.3,858.62,858.08,856.07,850.66,858.2,867.45,849.73,841.72,837.71,828.39
2019-07-03,3,2,184,27,7,3,2019,851.83,846.72,847.99,849.09,852.47,868.43,896.21,902.26,899.98,925.71,918.49,918.32,903.65,904.1,903.71,897.73,898.77,897.01,866.73,861.51,890.3,892.33,883.64,873.66
2019-07-04,4,3,185,27,7,3,2019,846.85,836.35,840.05,831.28,841.39,843.37,866.82,887.06,884.89,888.5,888.22,896.26,892.85,889.49,889.71,889.92,880.93,886.22,868.88,876.77,875.45,872.51,881.34,868.93
2019-07-05,5,4,186,27,7,3,2019,893.83,901.47,900.73,890.08,886.6,898.87,938.81,969.4,963.77,970.31,983.3,983.99,975.41,972.85,973.83,945.76,955.12,957.11,956.71,956.06,968.25,958.9,949.57,950.15
2019-07-06,6,5,187,27,7,3,2019,969.12,954.19,950.7,939.8,931.97,937.12,955.65,983.27,1008.96,1022.68,1020.84,1017.83,1015.54,1015.04,1015.1,1010.58,1002.87,1003.91,1000.78,1013.02,1027.12,1002.95,992.19,977.79
2019-07-07,7,6,188,27,7,3,2019,882.19,868.76,858.04,851.94,847.11,862.44,870.47,888.59,896.94,902.93,901.94,887.83,900.68,900.02,901.15,899.72,903.0,903.53,900.64,907.92,913.5,904.25,898.34,887.46
2019-07-08,8,0,189,28,7,3,2019,844.95,844.94,844.43,839.19,839.59,857.37,875.94,884.98,893.7,895.27,894.05,890.95,893.79,889.59,890.24,882.33,882.42,884.28,875.93,869.14,888.71,857.97,854.15,844.82
2019-07-09,9,1,190,28,7,3,2019,823.52,822.41,823.63,802.66,824.74,845.14,868.62,879.96,876.04,890.19,891.71,892.72,889.75,889.24,890.3,877.45,877.52,877.57,870.24,858.22,871.27,848.94,844.18,823.35
2019-07-10,10,2,191,28,7,3,2019,769.07,802.49,801.82,794.14,798.63,824.77,845.19,866.74,864.56,866.4,866.29,860.6,858.54,864.86,860.87,866.22,871.45,857.16,853.7,864.39,859.92,852.06,771.71,772.51
2019-07-11,11,3,192,28,7,3,2019,812.55,771.02,816.81,806.8,798.81,829.09,851.58,882.11,862.83,895.38,897.67,901.0,892.83,892.96,886.55,879.12,873.43,875.0,860.94,881.25,883.56,858.77,799.71,802.43
2019-07-12,12,4,193,28,7,3,2019,809.59,807.06,810.8,798.9,800.65,829.56,850.84,876.95,876.11,881.45,881.33,876.48,874.92,870.56,874.67,860.33,860.28,860.46,861.34,864.56,888.36,862.69,855.82,834.53
2019-07-13,13,5,194,28,7,3,2019,838.42,839.57,838.82,825.39,821.63,845.95,853.62,876.93,903.91,907.77,906.29,904.98,904.82,904.43,905.87,899.18,899.28,898.81,897.6,879.9,934.27,881.15,866.17,851.34
2019-07-14,14,6,195,28,7,3,2019,854.65,844.73,844.18,832.51,828.05,843.8,847.22,858.44,882.91,885.27,883.04,890.54,882.38,891.82,894.98,886.92,900.44,887.63,883.68,920.28,940.16,906.8,884.15,878.36
2019-07-15,15,0,196,29,7,3,2019,893.35,887.68,891.62,865.77,875.62,906.29,923.5,935.71,932.83,931.69,931.24,927.19,928.73,926.77,929.66,922.16,922.08,925.65,921.45,958.86,946.6,931.2,917.95,896.3
2019-07-16,16,1,197,29,7,3,2019,799.09,807.26,813.09,805.42,811.08,835.34,863.34,871.28,872.92,869.5,875.01,863.43,882.32,855.52,886.73,865.42,870.89,871.28,862.25,883.57,886.03,864.02,850.39,822.7
2019-07-17,17,2,198,29,7,3,2019,756.9,767.52,777.51,774.59,785.42,820.59,871.11,927.1,914.76,943.53,949.59,942.92,942.79,886.58,915.48,841.85,853.49,835.43,843.31,862.82,822.13,840.54,783.96,791.96
2019-07-18,18,3,199,29,7,3,2019,774.66,775.61,779.75,775.77,773.68,793.13,821.18,841.31,836.83,843.7,846.75,841.48,841.38,844.02,844.69,844.24,845.68,845.71,835.34,829.76,764.98,820.71,794.8,766.67
2019-07-19,19,4,200,29,7,3,2019,775.68,775.35,778.87,754.67,648.86,781.28,815.98,836.52,839.79,843.42,842.42,841.66,838.74,839.43,839.13,833.27,833.46,833.25,824.81,824.84,807.22,787.57,794.45,759.53
2019-07-20,20,5,201,29,7,3,2019,758.18,732.8,756.13,760.56,771.68,798.11,818.72,833.11,831.92,857.0,831.96,831.59,830.26,829.1,831.15,826.79,834.23,837.82,834.87,821.42,801.11,792.28,765.26,730.22
2019-07-21,21,6,202,29,7,3,2019,730.4,738.94,743.8,745.69,743.17,765.29,769.34,805.01,823.41,829.08,823.69,822.84,823.2,806.46,827.42,822.74,829.82,824.29,845.4,813.57,763.42,758.79,757.71,733.74
2019-07-22,22,0,203,30,7,3,2019,648.15,648.34,696.33,698.93,724.03,761.69,775.28,767.16,781.07,815.48,819.81,806.96,800.17,805.52,815.64,808.35,814.93,827.36,792.69,751.06,742.22,723.34,639.43,639.26
2019-07-23,23,1,204,30,7,3,2019,630.57,632.88,638.23,644.8,659.73,705.93,736.13,767.19,772.79,775.37,769.2,769.49,770.15,784.96,778.69,767.65,801.62,790.47,840.02,780.45,749.54,693.75,726.17,689.71
2019-07-24,24,2,205,30,7,3,2019,734.92,754.47,760.39,769.45,778.8,806.15,818.93,834.18,838.58,853.88,854.73,851.81,853.35,854.02,863.74,846.08,847.9,857.24,929.98,862.64,812.17,775.76,770.32,766.8
2019-07-25,25,3,206,30,7,3,2019,636.2,635.92,677.49,664.48,709.71,664.63,688.88,707.85,727.61,738.77,748.21,744.85,734.05,745.18,749.95,735.85,742.57,732.65,719.16,775.85,745.29,737.23,723.9,702.65
2019-07-26,26,4,207,30,7,3,2019,414.65,416.35,420.7,489.98,512.11,494.08,524.51,529.59,542.67,561.7,551.6,547.8,546.26,546.77,545.05,539.02,559.67,537.52,524.11,538.22,517.53,583.08,540.79,538.23
2019-07-27,27,5,208,30,7,3,2019,549.56,536.62,535.73,438.61,470.62,520.81,541.69,562.19,561.5,587.92,584.49,583.25,558.44,558.23,554.76,555.46,559.48,554.33,522.08,510.21,489.67,600.22,554.58,549.29
2019-07-28,28,6,209,30,7,3,2019,609.4,601.46,590.16,483.88,537.83,577.48,594.98,625.8,624.29,624.32,649.15,649.47,651.55,654.86,658.24,653.44,667.9,637.74,595.6,586.11,572.84,663.29,652.11,638.28
2019-07-29,29,0,210,31,7,3,2019,532.02,531.04,537.41,449.62,520.62,546.05,571.86,597.87,594.85,595.14,594.49,581.62,589.65,589.18,584.84,570.3,576.95,544.53,535.2,494.12,492.39,559.92,559.82,557.89
2019-07-30,30,1,211,31,7,3,2019,430.48,430.09,433.31,435.7,522.96,552.98,573.86,581.44,586.34,586.98,536.53,535.66,585.28,580.24,581.14,575.65,577.3,574.16,521.57,501.26,565.96,597.61,560.55,558.84
2019-07-31,31,2,212,31,7,3,2019,601.71,439.39,497.88,481.31,603.76,631.62,657.91,667.71,679.97,662.83,667.75,666.63,665.5,670.81,655.77,650.98,670.79,657.34,605.75,583.88,669.28,673.57,611.82,595.76
2019-08-01,1,3,213,31,8,3,2019,427.35,427.28,432.88,437.12,473.54,523.0,544.17,591.31,562.38,570.15,567.86,567.83,569.56,574.59,569.59,560.73,582.78,533.5,521.34,497.6,483.79,544.63,544.42,540.95
2019-08-02,2,4,214,31,8,3,2019,423.36,424.15,427.7,396.63,476.2,520.06,550.97,569.92,575.52,584.19,588.68,565.21,592.58,584.6,580.19,553.74,555.71,567.83,529.25,510.39,504.89,588.68,551.74,537.11
2019-08-03,3,5,215,31,8,3,2019,459.52,388.42,391.77,394.02,462.94,483.22,525.85,552.75,549.51,551.09,548.22,545.93,549.01,571.57,571.32,552.37,587.59,542.5,541.45,509.74,502.86,471.45,461.06,389.74
2019-08-04,4,6,216,31,8,3,2019,446.1,372.59,389.47,390.53,371.19,473.22,508.55,500.49,549.34,555.69,524.36,534.58,526.28,549.14,557.92,547.55,548.54,529.81,537.68,507.52,508.24,476.94,457.87,448.26
2019-08-05,5,0,217,32,8,3,2019,388.97,387.95,391.86,432.91,494.58,542.4,542.03,562.91,566.51,592.64,592.86,593.69,583.82,588.82,617.23,606.05,596.83,568.42,533.39,511.99,497.36,389.02,451.06,389.45
2019-08-06,6,1,218,32,8,3,2019,365.66,365.75,381.79,419.0,471.46,521.41,540.98,576.34,572.55,586.71,569.71,557.07,569.91,563.13,551.1,565.8,571.72,566.78,549.48,515.78,503.99,486.22,453.33,365.98
2019-08-07,7,2,219,32,8,3,2019,453.45,458.81,458.48,475.24,460.34,540.51,558.57,589.61,597.77,606.37,606.87,598.9,604.26,596.73,591.61,583.91,564.18,570.34,541.29,517.72,484.83,388.92,377.94,374.39
2019-08-08,8,3,220,32,8,3,2019,368.44,370.58,389.77,462.97,503.44,528.7,544.87,577.45,588.65,602.57,605.62,604.48,604.81,602.59,599.99,593.7,602.49,589.19,567.46,529.06,510.74,489.5,469.22,366.02
2019-08-09,9,4,221,32,8,3,2019,371.8,373.41,388.39,409.79,487.95,524.67,547.05,573.13,583.04,601.8,604.33,599.9,586.74,583.78,592.22,578.99,577.84,582.49,579.4,547.51,502.56,488.19,468.28,456.86
2019-08-10,10,5,222,32,8,3,2019,431.65,366.2,366.87,409.22,477.69,502.41,528.05,537.14,572.33,574.93,573.15,571.43,572.59,586.36,585.22,579.53,580.62,570.72,534.66,506.21,493.06,366.57,450.54,365.17
2019-08-11,11,6,223,32,8,3,2019,360.87,360.61,361.71,383.67,390.0,417.76,494.01,494.4,529.58,550.58,550.1,537.01,549.32,551.29,548.38,547.81,557.55,516.93,506.16,485.55,467.44,445.64,365.62,386.11
2019-08-12,12,0,224,33,8,3,2019,489.48,485.33,509.69,515.61,554.78,580.47,599.8,609.99,620.28,621.4,583.9,582.5,587.0,584.68,584.11,583.62,616.84,614.36,595.19,554.34,540.27,493.74,496.92,486.62
2019-08-13,13,1,225,33,8,3,2019,597.94,583.35,608.09,617.34,634.19,664.34,678.21,697.16,704.26,704.09,691.03,704.7,701.37,710.15,701.22,684.74,700.48,705.59,687.74,651.13,639.12,602.32,599.28,597.41
2019-08-14,14,2,226,33,8,3,2019,597.68,595.41,597.77,594.34,601.25,626.9,676.24,691.49,689.38,689.75,684.16,692.84,692.56,676.07,661.05,652.71,648.88,652.87,645.87,622.34,602.3,602.77,535.22,592.54
2019-08-15,15,3,227,33,8,3,2019,509.5,531.34,539.21,545.8,572.14,603.02,611.77,631.41,635.06,638.84,634.55,632.15,630.92,643.64,642.17,626.04,632.59,617.06,604.55,586.08,555.14,551.09,547.32,548.04
2019-08-16,16,4,228,33,8,3,2019,408.0,415.03,420.05,429.74,464.54,522.42,537.23,531.8,538.85,549.61,547.71,546.7,541.45,540.64,533.16,527.22,549.31,522.18,491.93,447.67,458.88,449.45,433.65,442.13
2019-08-17,17,5,229,33,8,3,2019,428.7,427.8,358.46,438.61,464.15,486.35,502.41,517.87,539.05,553.76,538.86,549.14,537.02,537.79,538.6,547.32,555.81,537.77,505.2,478.12,454.48,436.43,428.75,357.91
2019-08-18,18,6,230,33,8,3,2019,357.41,379.76,356.3,411.89,388.28,454.18,477.78,478.6,498.7,515.8,509.53,493.47,509.54,510.94,510.46,508.84,531.65,492.49,483.77,472.12,431.13,409.26,346.5,348.01
2019-08-19,19,0,231,34,8,3,2019,317.1,318.89,391.35,457.72,479.05,563.82,582.26,592.52,606.57,613.92,614.42,616.99,611.89,613.92,613.69,610.98,608.02,605.92,530.47,465.92,436.33,309.71,309.72,408.87
2019-08-20,20,1,232,34,8,3,2019,406.49,378.15,406.51,414.11,479.87,504.36,520.01,526.79,532.0,551.91,524.65,549.69,545.21,543.68,546.13,541.96,598.73,591.91,529.34,481.01,447.37,436.07,374.81,413.02
2019-08-21,21,2,233,34,8,3,2019,366.37,369.98,388.3,384.27,391.92,484.59,504.35,472.05,508.63,514.33,489.16,507.32,517.46,523.72,529.83,531.11,537.06,517.9,465.82,449.15,435.52,419.69,364.94,364.33
2019-08-22,22,3,234,34,8,3,2019,367.77,371.13,377.61,384.8,395.13,481.96,500.09,476.53,488.76,491.93,491.22,502.68,492.96,523.14,522.68,527.7,527.75,492.86,464.02,448.02,423.37,381.36,371.61,361.21
2019-08-23,23,4,235,34,8,3,2019,361.87,372.87,378.42,385.43,392.97,439.78,492.58,484.74,485.45,490.17,488.37,487.33,486.89,488.64,523.03,529.8,528.7,492.83,466.58,449.19,435.71,420.88,414.11,405.34
2019-08-24,24,5,236,34,8,3,2019,405.92,372.67,374.62,373.82,422.69,491.27,503.05,514.54,532.48,530.46,514.34,521.3,517.53,524.22,525.92,527.36,523.16,483.71,461.41,447.14,435.54,412.75,408.27,400.84
2019-08-25,25,6,237,34,8,3,2019,371.78,373.03,387.03,382.2,419.52,480.75,488.36,497.25,505.79,520.9,507.98,507.03,507.51,516.48,516.63,519.36,526.14,515.51,464.48,449.34,440.56,429.04,416.51,403.98
2019-08-26,26,0,238,35,8,3,2019,393.33,390.34,403.22,402.31,452.45,490.82,519.04,531.07,533.73,525.21,521.94,522.64,531.95,528.76,529.33,528.99,544.2,522.66,505.04,457.25,443.89,430.43,429.91,416.1
2019-08-27,27,1,239,35,8,3,2019,365.33,377.45,396.09,405.64,416.41,421.06,464.78,468.67,479.72,487.62,486.78,484.64,486.57,490.45,493.71,493.81,505.16,496.75,460.83,423.78,413.81,392.49,389.85,371.28
2019-08-28,28,2,240,35,8,3,2019,323.56,387.17,394.06,395.94,468.14,474.2,524.78,516.23,528.27,542.56,541.27,540.84,530.55,540.71,545.47,570.42,561.58,518.75,473.55,457.26,449.31,439.75,420.65,400.77
2019-08-29,29,3,241,35,8,3,2019,370.67,370.8,370.32,372.32,431.67,453.26,452.42,502.22,495.28,506.74,498.66,486.03,485.67,490.78,494.02,516.18,528.66,472.1,448.1,426.94,412.13,396.39,372.9,371.47
2019-08-30,30,4,242,35,8,3,2019,374.8,372.01,373.51,378.0,448.77,491.31,505.71,509.34,488.59,522.13,514.49,488.75,487.55,497.78,490.61,522.23,523.1,470.85,447.13,428.38,414.71,408.74,377.67,377.68
2019-08-31,31,5,243,35,8,3,2019,363.81,361.56,361.74,361.15,372.97,441.96,455.28,463.53,492.98,464.42,455.98,454.34,489.86,492.04,492.79,505.01,504.17,448.67,431.07,420.43,405.81,398.92,388.6,369.56
2019-09-01,1,6,244,35,9,3,2019,359.66,351.24,358.09,358.95,370.47,395.07,447.61,401.51,440.05,453.19,456.15,458.56,454.99,483.16,504.85,479.78,483.73,681.87,430.36,423.24,415.41,408.56,380.53,354.61
2019-09-02,2,0,245,36,9,3,2019,347.07,347.73,358.95,371.24,455.89,476.74,487.76,507.53,520.05,519.32,518.16,514.24,514.25,511.1,519.22,534.5,558.2,500.34,426.86,421.2,407.41,385.34,363.62,348.74
2019-09-03,3,1,246,36,9,3,2019,331.43,333.63,344.16,349.21,369.54,390.22,412.2,431.88,443.71,449.4,444.13,445.12,440.48,486.49,506.95,521.52,512.12,415.75,412.85,400.5,394.78,375.41,349.98,324.5
2019-09-04,4,2,247,36,9,3,2019,327.35,328.77,366.1,369.73,400.21,429.49,452.62,463.04,464.87,467.45,459.98,462.31,460.48,458.62,461.05,462.12,465.59,447.74,421.65,408.04,385.88,349.22,345.02,341.1
2019-09-05,5,3,248,36,9,3,2019,316.69,316.08,335.25,340.83,390.48,411.82,447.37,447.17,447.99,449.3,427.35,446.49,437.05,435.84,439.05,486.02,464.04,407.8,398.05,387.94,372.15,339.47,315.6,314.66
2019-09-06,6,4,249,36,9,3,2019,346.92,338.72,368.52,376.9,410.74,429.15,471.37,470.56,471.9,473.85,473.15,465.86,467.25,466.74,499.99,507.14,524.26,456.76,428.33,414.08,397.65,381.35,357.95,355.07
2019-09-07,7,5,250,36,9,3,2019,338.01,337.55,337.26,348.58,367.72,434.98,454.22,471.04,442.89,422.04,424.27,427.13,429.65,470.05,482.69,484.21,500.62,443.83,410.5,392.17,379.12,367.31,353.16,338.17
2019-09-08,8,6,251,36,9,3,2019,323.42,346.19,327.67,343.14,364.15,412.56,424.06,437.6,459.04,425.01,461.16,435.01,428.11,467.94,479.94,482.17,490.49,430.67,417.7,392.16,376.73,365.57,354.03,340.43
2019-09-09,9,0,252,37,9,3,2019,358.11,358.68,363.87,370.38,446.55,472.95,494.51,463.2,454.94,453.94,451.23,452.79,451.38,509.87,515.49,520.21,524.02,458.08,447.02,425.83,407.88,395.68,354.67,358.96
2019-09-10,10,1,253,37,9,3,2019,340.73,346.12,356.94,360.63,390.36,405.07,437.46,431.8,600.04,434.35,432.59,428.49,448.22,455.41,456.47,470.05,629.19,436.75,421.34,412.06,395.29,362.58,333.92,320.78
2019-09-11,11,2,254,37,9,3,2019,328.83,346.84,335.59,339.17,362.88,403.1,399.96,418.94,423.89,426.41,424.25,431.58,468.86,475.61,482.34,488.5,488.6,646.63,425.86,392.82,389.11,371.18,358.74,315.88
2019-09-12,12,3,255,37,9,3,2019,322.85,357.81,341.01,344.45,392.93,421.85,424.14,441.48,443.44,444.23,429.22,464.34,465.54,485.08,492.85,740.77,736.96,454.02,430.78,402.23,394.37,378.16,354.11,326.22
2019-09-13,13,4,256,37,9,3,2019,118.6,120.86,137.85,144.13,332.36,375.49,396.83,370.16,370.81,380.79,368.25,368.04,414.14,425.27,428.74,430.05,434.27,382.88,343.66,220.45,187.64,178.43,163.41,140.73
2019-09-14,14,5,257,37,9,3,2019,343.07,351.0,353.86,357.66,383.75,647.64,669.6,629.58,634.72,662.33,464.06,462.73,464.68,682.26,741.67,534.12,664.54,713.22,635.52,430.22,407.1,387.68,367.55,342.93
2019-09-15,15,6,258,37,9,3,2019,360.52,360.44,387.66,390.4,454.14,468.31,492.1,461.05,481.86,483.89,480.52,482.05,484.06,530.17,544.97,547.32,508.45,682.81,654.18,465.11,431.45,421.21,394.94,377.83
2019-09-16,16,0,259,38,9,3,2019,383.64,384.58,411.47,433.69,455.11,672.61,686.44,633.33,521.91,678.59,499.98,673.26,492.79,567.65,566.89,570.67,569.17,671.13,672.05,601.06,571.95,398.11,395.48,387.87
